Traveler;Rosetta Project;Rosetta State;IDX Project;Project UUID;Project State
[17-1602|http://rosettaprod-app01.a.fsglobal.net:8081/teamworks/source?project=17-1602];Argentina, Corrientes, Registro Civil, 1880-1960 - (Capture/FSI/DB for FSI Support);In Production;[Argentina, Corrientes—Civil Registration, 1880–1960 \[Part D\]|https:///www.familysearch.org/indexing/admin-new/#/projects/210E5CFC-D88D-4546-A81B-D6611BAB7918/overview];210E5CFC-D88D-4546-A81B-D6611BAB7918;READY_FOR_DELIVERY
[17-1602|http://rosettaprod-app01.a.fsglobal.net:8081/teamworks/source?project=17-1602];Argentina, Corrientes, Registro Civil, 1880-1960 - (Capture/FSI/DB for FSI Support);In Production;[Argentina, Corrientes—Civil Registration, 1880–1960 \[Part E\]|https:///www.familysearch.org/indexing/admin-new/#/projects/0AC3B37C-77A9-4399-AC54-DB97D1F758B7/overview];0AC3B37C-77A9-4399-AC54-DB97D1F758B7;READY_FOR_DELIVERY
[17-1602|http://rosettaprod-app01.a.fsglobal.net:8081/teamworks/source?project=17-1602];Argentina, Corrientes, Registro Civil, 1880-1960 - (Capture/FSI/DB for FSI Support);In Production;[Argentina, Corrientes—Civil Registration, 1880–1960 \[Part G\]|https:///www.familysearch.org/indexing/admin-new/#/projects/F8B703AB-5381-4E97-9CC6-63CD41EC6265/overview];F8B703AB-5381-4E97-9CC6-63CD41EC6265;READY_FOR_DELIVERY
[17-1602|http://rosettaprod-app01.a.fsglobal.net:8081/teamworks/source?project=17-1602];Argentina, Corrientes, Registro Civil, 1880-1960 - (Capture/FSI/DB for FSI Support);In Production;[Argentina, Corrientes—Civil Registration, 1880–1960 \[Part H\]|https:///www.familysearch.org/indexing/admin-new/#/projects/9D4200D7-784A-4D98-9A6B-C51EECFCA4AA/overview];9D4200D7-784A-4D98-9A6B-C51EECFCA4AA;READY_FOR_DELIVERY
[17-1602|http://rosettaprod-app01.a.fsglobal.net:8081/teamworks/source?project=17-1602];Argentina, Corrientes, Registro Civil, 1880-1960 - (Capture/FSI/DB for FSI Support);In Production;[Argentina, Corrientes—Civil Registration, 1880–1960 \[Part I\]|https:///www.familysearch.org/indexing/admin-new/#/projects/A4C294ED-6BF7-43D2-8725-E251EBBDFC9A/overview];A4C294ED-6BF7-43D2-8725-E251EBBDFC9A;READY_FOR_DELIVERY
[17-1602|http://rosettaprod-app01.a.fsglobal.net:8081/teamworks/source?project=17-1602];Argentina, Corrientes, Registro Civil, 1880-1960 - (Capture/FSI/DB for FSI Support);In Production;[Argentina, Corrientes—Civil Registration, 1880–1960 \[Part K\]|https:///www.familysearch.org/indexing/admin-new/#/projects/47F7429E-2C89-4CED-920E-966D9CB08932/overview];47F7429E-2C89-4CED-920E-966D9CB08932;READY_FOR_DELIVERY
[17-1602|http://rosettaprod-app01.a.fsglobal.net:8081/teamworks/source?project=17-1602];Argentina, Corrientes, Registro Civil, 1880-1960 - (Capture/FSI/DB for FSI Support);In Production;[Argentina, Corrientes—Civil Registration, 1880–1960 \[Part L\]|https:///www.familysearch.org/indexing/admin-new/#/projects/B8FD2EB0-CF2E-4CE4-8FA3-DB11D336E2E6/overview];B8FD2EB0-CF2E-4CE4-8FA3-DB11D336E2E6;READY_FOR_DELIVERY
[17-1602|http://rosettaprod-app01.a.fsglobal.net:8081/teamworks/source?project=17-1602];Argentina, Corrientes, Registro Civil, 1880-1960 - (Capture/FSI/DB for FSI Support);In Production;[Argentina, Corrientes—Civil Registration, 1880–1960 \[Part M\]|https:///www.familysearch.org/indexing/admin-new/#/projects/D462E2D6-743C-421E-9952-E6DC5736C88C/overview];D462E2D6-743C-421E-9952-E6DC5736C88C;READY_FOR_DELIVERY
[17-1602|http://rosettaprod-app01.a.fsglobal.net:8081/teamworks/source?project=17-1602];Argentina, Corrientes, Registro Civil, 1880-1960 - (Capture/FSI/DB for FSI Support);In Production;[Argentina, Corrientes—Civil Registration, 1880–1960 \[Part N\]|https:///www.familysearch.org/indexing/admin-new/#/projects/6E1D45A7-F75B-47D1-BDED-52F82C663A51/overview];6E1D45A7-F75B-47D1-BDED-52F82C663A51;READY_FOR_DELIVERY
[17-1602|http://rosettaprod-app01.a.fsglobal.net:8081/teamworks/source?project=17-1602];Argentina, Corrientes, Registro Civil, 1880-1960 - (Capture/FSI/DB for FSI Support);In Production;[Argentina, Corrientes—Civil Registration, 1880–1960 \[Part O\]|https:///www.familysearch.org/indexing/admin-new/#/projects/DF41F23F-A06D-454E-958A-9DDDB9804423/overview];DF41F23F-A06D-454E-958A-9DDDB9804423;READY_FOR_DELIVERY
[17-1602|http://rosettaprod-app01.a.fsglobal.net:8081/teamworks/source?project=17-1602];Argentina, Corrientes, Registro Civil, 1880-1960 - (Capture/FSI/DB for FSI Support);In Production;[Argentina, Corrientes—Civil Registration, 1880–1960 \[Part P\]|https:///www.familysearch.org/indexing/admin-new/#/projects/D4BB6A52-BA00-4A5A-AB55-A90FA90EEB49/overview];D4BB6A52-BA00-4A5A-AB55-A90FA90EEB49;READY_FOR_DELIVERY
[17-1602|http://rosettaprod-app01.a.fsglobal.net:8081/teamworks/source?project=17-1602];Argentina, Corrientes, Registro Civil, 1880-1960 - (Capture/FSI/DB for FSI Support);In Production;[Argentina, Corrientes—Civil Registration, 1880–1960 \[Part Q\]|https:///www.familysearch.org/indexing/admin-new/#/projects/1B1AB55A-3870-4488-8A92-1A6894F06EE9/overview];1B1AB55A-3870-4488-8A92-1A6894F06EE9;ACTIVE
[17-1602|http://rosettaprod-app01.a.fsglobal.net:8081/teamworks/source?project=17-1602];Argentina, Corrientes, Registro Civil, 1880-1960 - (Capture/FSI/DB for FSI Support);In Production;[Argentina, Corrientes—Civil Registration, 1880–1960 \[Part R\]|https:///www.familysearch.org/indexing/admin-new/#/projects/AC13A005-B59F-4DCD-B2B3-94360CC9CF05/overview];AC13A005-B59F-4DCD-B2B3-94360CC9CF05;READY_FOR_WORK
[17-1602|http://rosettaprod-app01.a.fsglobal.net:8081/teamworks/source?project=17-1602];Argentina, Corrientes, Registro Civil, 1880-1960 - (Capture/FSI/DB for FSI Support);In Production;[Argentina, Corrientes—Civil Registration, 1880–1960 \[Part S\]|https:///www.familysearch.org/indexing/admin-new/#/projects/392F8700-C7E5-4430-A9F9-22DCAA98491F/overview];392F8700-C7E5-4430-A9F9-22DCAA98491F;RESET_BATCHES
[17-1602|http://rosettaprod-app01.a.fsglobal.net:8081/teamworks/source?project=17-1602];Argentina, Corrientes, Registro Civil, 1880-1960 - (Capture/FSI/DB for FSI Support);In Production;[Argentina, Corrientes—Registro Civil, 1880–1930 \[Parte A\]|https:///www.familysearch.org/indexing/admin-new/#/projects/67C25D70-3E02-471C-A32E-948A1556E74F/overview];67C25D70-3E02-471C-A32E-948A1556E74F;READY_FOR_DELIVERY
[17-1602|http://rosettaprod-app01.a.fsglobal.net:8081/teamworks/source?project=17-1602];Argentina, Corrientes, Registro Civil, 1880-1960 - (Capture/FSI/DB for FSI Support);In Production;[Argentina, Corrientes—Registro Civil, 1880–1930 \[Parte B\]|https:///www.familysearch.org/indexing/admin-new/#/projects/93F87CC5-EFC0-4D11-94A4-06B0A2E8B72A/overview];93F87CC5-EFC0-4D11-94A4-06B0A2E8B72A;READY_FOR_DELIVERY
[17-1602|http://rosettaprod-app01.a.fsglobal.net:8081/teamworks/source?project=17-1602];Argentina, Corrientes, Registro Civil, 1880-1960 - (Capture/FSI/DB for FSI Support);In Production;[Argentina, Corrientes—Registro Civil, 1880–1930 \[Parte C\]|https:///www.familysearch.org/indexing/admin-new/#/projects/F6061F14-662B-493D-8A3B-8D9873387BD0/overview];F6061F14-662B-493D-8A3B-8D9873387BD0;READY_FOR_DELIVERY
[17-1602|http://rosettaprod-app01.a.fsglobal.net:8081/teamworks/source?project=17-1602];Argentina, Corrientes, Registro Civil, 1880-1960 - (Capture/FSI/DB for FSI Support);In Production;[Argentina, Corrientes—Registro Civil, 1880–1930 \[Parte F\]|https:///www.familysearch.org/indexing/admin-new/#/projects/FCEA42FD-EBA3-4B7C-8523-F1C00B7C518D/overview];FCEA42FD-EBA3-4B7C-8523-F1C00B7C518D;READY_FOR_DELIVERY
